applicant_id,predicted_prob_default,credit_score,score_band,recommended_action
1,0.3125,510,Very High Risk,Decline
2,0.9213,416,Very High Risk,Decline
3,0.0942,552,Very High Risk,Decline
4,0.107,548,Very High Risk,Decline
5,0.0366,581,High Risk,Decline
6,0.1055,549,Very High Risk,Decline
7,0.5086,486,Very High Risk,Decline
8,0.4123,497,Very High Risk,Decline
9,0.3047,511,Very High Risk,Decline
10,0.1573,536,Very High Risk,Decline
11,0.2148,525,Very High Risk,Decline
12,0.9757,381,Very High Risk,Decline
13,0.2606,517,Very High Risk,Decline
14,0.1695,533,Very High Risk,Decline
15,0.9105,420,Very High Risk,Decline
16,0.1698,533,Very High Risk,Decline
17,0.1701,533,Very High Risk,Decline
18,0.1625,534,Very High Risk,Decline
19,0.7069,462,Very High Risk,Decline
20,0.7781,451,Very High Risk,Decline
21,0.167,533,Very High Risk,Decline
22,0.1222,544,Very High Risk,Decline
23,0.1242,543,Very High Risk,Decline
24,0.7009,463,Very High Risk,Decline
25,0.9138,419,Very High Risk,Decline
26,0.1158,546,Very High Risk,Decline
27,0.3919,500,Very High Risk,Decline
28,0.055,569,Very High Risk,Decline
29,0.6975,463,Very High Risk,Decline
30,0.2614,517,Very High Risk,Decline
31,0.146,538,Very High Risk,Decline
32,0.2041,526,Very High Risk,Decline
33,0.8644,434,Very High Risk,Decline
34,0.1633,534,Very High Risk,Decline
35,0.2393,520,Very High Risk,Decline
36,0.0878,555,Very High Risk,Decline
37,0.2008,527,Very High Risk,Decline
38,0.2117,525,Very High Risk,Decline
39,0.6014,475,Very High Risk,Decline
40,0.1546,536,Very High Risk,Decline
41,0.2208,524,Very High Risk,Decline
42,0.0732,560,Very High Risk,Decline
43,0.2816,514,Very High Risk,Decline
44,0.1303,542,Very High Risk,Decline
45,0.6713,467,Very High Risk,Decline
46,0.9313,412,Very High Risk,Decline
47,0.3403,506,Very High Risk,Decline
48,0.2015,527,Very High Risk,Decline
49,0.1222,544,Very High Risk,Decline
50,0.2814,514,Very High Risk,Decline
51,0.0573,568,Very High Risk,Decline
52,0.036,582,High Risk,Decline
